gene,importance,rank,method
Rgs18,0.019785332135626766,343,XGBoost
Gusb,0.019776637067432004,344,XGBoost
Fos,0.01977661621261793,345,XGBoost
Marcks,0.0197552864350937,346,XGBoost
Glipr2,0.019743448326639396,347,XGBoost
Thrsp,0.01973562933595194,348,XGBoost
Dusp2,0.01973078015709141,349,XGBoost
Serpinh1,0.019723854624310817,350,XGBoost
Nfkbiz,0.01971703179150943,351,XGBoost
Irg1,0.01970309756002573,352,XGBoost
Plvap,0.019670691037720144,353,XGBoost
Igfbp6,0.019669825155894705,354,XGBoost
Coro1a,0.019653516779905175,355,XGBoost
Stmn2,0.019636165079301854,356,XGBoost
Hist1h2ap,0.019590954774925146,357,XGBoost
Glipr1,0.019564719936775173,358,XGBoost
Clec4b1,0.019561000711965,359,XGBoost
Slco1a4,0.019525571422815184,360,XGBoost
Gla,0.019525042860913437,361,XGBoost
Cd83,0.019523533405101216,362,XGBoost
Smim5,0.01947620487051361,363,XGBoost
Cst3,0.019456976631270696,364,XGBoost
Tgtp1,0.01945419197365052,365,XGBoost
Hcst,0.019407747508701764,366,XGBoost
C1qb,0.019401017562557604,367,XGBoost
Ndufa4l2,0.019398902124802355,368,XGBoost
Atp13a5,0.019384092764610908,369,XGBoost
Rgcc,0.019353785066364308,370,XGBoost
Ldhb,0.0193377120780843,371,XGBoost
Cd300lf,0.019331469447761082,372,XGBoost
Gbp4,0.01929120122073944,373,XGBoost
Itgal,0.019286972107955654,374,XGBoost
Plpp1,0.01928291461666471,375,XGBoost
Hmgcs2,0.019278310894476642,376,XGBoost
Cyr61,0.019268264882700385,377,XGBoost
Cx3cr1,0.019262486133674796,378,XGBoost
Nrp1,0.019220630893269933,379,XGBoost
Cdk2ap2,0.019214384004807898,380,XGBoost
Fn1,0.019192791452141224,381,XGBoost
Ptpn18,0.01918382584055444,382,XGBoost
Fbxl22,0.019150264139575712,383,XGBoost
Prdx5,0.0191153904292897,384,XGBoost
Ctsz,0.019083079136636285,385,XGBoost
Uap1l1,0.01907946633578293,386,XGBoost
Stk17b,0.01906730522296669,387,XGBoost
Cd33,0.019056546624739493,388,XGBoost
Ccnd2,0.01902882747160027,389,XGBoost
H2-DMb1,0.019019795849019736,390,XGBoost
Ifitm3,0.018999637203596986,391,XGBoost
P2ry14,0.018975800383123666,392,XGBoost
Il34,0.0189606450369312,393,XGBoost
Pla2g7,0.018933955279217925,394,XGBoost
Rgs1,0.018932764752976367,395,XGBoost
Frmd4a,0.018923998201615572,396,XGBoost
mt-Nd4,0.018918802693641268,397,XGBoost
Lmnb1,0.018913272784596702,398,XGBoost
Acer2,0.01891322322341375,399,XGBoost
Gm17056,0.01888987777812524,400,XGBoost
Dcn,0.018883055822778827,401,XGBoost
Cd244,0.018881645335338364,402,XGBoost
Maf,0.018879670781731903,403,XGBoost
Gsn,0.01887845266035994,404,XGBoost
Ptgs1,0.018878027823425635,405,XGBoost
Pim1,0.01885555863893604,406,XGBoost
Trim30b,0.018853855807319936,407,XGBoost
Ctsd,0.01885137368171697,408,XGBoost
C1qa,0.0188317827913357,409,XGBoost
Fscn1,0.01882790328895449,410,XGBoost
Saa3,0.018804914284686187,411,XGBoost
Zbp1,0.018804548732658924,412,XGBoost
Col4a1,0.01880375952193936,413,XGBoost
Sparcl1,0.018802537146385807,414,XGBoost
Zfos1,0.018796823284319013,415,XGBoost
Ccl5,0.018789128240718083,416,XGBoost
Fam167b,0.018762175373850866,417,XGBoost
Nupr1,0.018760569078011092,418,XGBoost
Sod2,0.0187481129339567,419,XGBoost
Epsti1,0.01869317659708715,420,XGBoost
Ifitm2,0.018684146383264225,421,XGBoost
Rsad2,0.018684123993789752,422,XGBoost
Tmem100,0.018683522585493318,423,XGBoost
Slc22a8,0.01865878725213603,424,XGBoost
Pglyrp1,0.018636303861638767,425,XGBoost
Arhgdib,0.018614316697845024,426,XGBoost
Nnat,0.01859204839687476,427,XGBoost
Fgl2,0.01858489979730003,428,XGBoost
Higd1b,0.01857832927984656,429,XGBoost
Ppfia4,0.018542991100553418,430,XGBoost
Crispld2,0.018534625364022502,431,XGBoost
Apod,0.018521534610901585,432,XGBoost
Cd300lg,0.018484504513459257,433,XGBoost
Hmgb2,0.018473309672123506,434,XGBoost
Pilrb2,0.01847071900568099,435,XGBoost
Art3,0.01847049716374755,436,XGBoost
Gkn3,0.018461844165395366,437,XGBoost
Icam1,0.018455444927086607,438,XGBoost
Gbp3,0.018427191322565397,439,XGBoost
Hilpda,0.01842668485630068,440,XGBoost
Nrip2,0.01838795562881891,441,XGBoost
Zfhx3,0.018381451639771916,442,XGBoost
8430408G22Rik,0.01834860496245451,443,XGBoost
Slc40a1,0.0183422333236607,444,XGBoost
Hspa1a,0.018324050804373163,445,XGBoost
Phf11b,0.018300557009973177,446,XGBoost
Gpr35,0.018288684017790144,447,XGBoost
Slc19a1,0.01827125965598419,448,XGBoost
