gene,importance,rank,method
Ass1,0.017972131222674943,482,Random Forest
Gna15,0.017971387284412124,483,Random Forest
Ccl5,0.017963825545408017,484,Random Forest
Oas1g,0.017956380829061935,485,Random Forest
H2-Q7,0.01793455889892897,486,Random Forest
Sparcl1,0.017920539990336676,487,Random Forest
Upp1,0.017919299953727163,488,Random Forest
Ctla2b,0.017874316071152224,489,Random Forest
Cd82,0.017869056853471087,490,Random Forest
Slc11a1,0.01786000711987333,491,Random Forest
Nupr1,0.017858006114114908,492,Random Forest
Mafb,0.0178575863751474,493,Random Forest
Rhoh,0.017832150403776156,494,Random Forest
Slc40a1,0.017815735752657127,495,Random Forest
Ccrl2,0.017778431954178615,496,Random Forest
Slamf7,0.017729908306900573,497,Random Forest
Akap12,0.01772126845038481,498,Random Forest
Ninj1,0.01768291257606259,499,Random Forest
Slc16a3,0.01768182990188973,500,Random Forest
Rap2b,0.0176678175659453,501,Random Forest
Iigp1,0.017665231818024898,502,Random Forest
Metrnl,0.017623512446794665,503,Random Forest
Gpsm3,0.017619012536655328,504,Random Forest
mt-Co3,0.01761070741028856,505,Random Forest
Rnd1,0.01759698935728083,506,Random Forest
Ccdc109b,0.01757563370350659,507,Random Forest
Uqcrq,0.01757340124832987,508,Random Forest
Csf2ra,0.017549361808170908,509,Random Forest
Art3,0.01752503695751422,510,Random Forest
Ifi30,0.017519816654233793,511,Random Forest
Pou2f2,0.017503562088473163,512,Random Forest
Hist4h4,0.017484778058895416,513,Random Forest
Oas1a,0.017461567069242474,514,Random Forest
Col4a2,0.017444371872777312,515,Random Forest
2900060B14Rik,0.017395838040235628,516,Random Forest
Ccnd2,0.017394789278598378,517,Random Forest
Acer2,0.017382567986029898,518,Random Forest
Nrros,0.017374927903097245,519,Random Forest
Rsad2,0.017372029155733458,520,Random Forest
Slc22a8,0.017370955678014683,521,Random Forest
Ang,0.017367402255662672,522,Random Forest
mt-Nd4,0.01735279063806272,523,Random Forest
Pglyrp1,0.017349413090385197,524,Random Forest
Fos,0.017328242918893105,525,Random Forest
Dcn,0.01732376087201673,526,Random Forest
Gem,0.01728758333249807,527,Random Forest
Siglece,0.017271064928192647,528,Random Forest
Mertk,0.017251827850728034,529,Random Forest
Gfap,0.01723941893436255,530,Random Forest
Ercc1,0.017226198058429343,531,Random Forest
Milr1,0.017172960474753342,532,Random Forest
Igfbp4,0.017159114999937518,533,Random Forest
Hspe1,0.017157549394802272,534,Random Forest
Gsn,0.01714440156308454,535,Random Forest
Nnat,0.017128345082707493,536,Random Forest
Prtn3,0.017123631397923438,537,Random Forest
Hsp90aa1,0.016998472357701813,538,Random Forest
Smim5,0.016982283212075035,539,Random Forest
Bmx,0.016948535826725546,540,Random Forest
Il10ra,0.016931610419050634,541,Random Forest
Grn,0.016887299365820667,542,Random Forest
Srxn1,0.01688361942044413,543,Random Forest
Rgcc,0.016865434340820835,544,Random Forest
