"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043069","negative regulation of programmed cell death","14/57","253/2675",0.0553359683794466,2.5969072879828,3.93809512467913,0.000592722853374125,0.0197919035707978,0.0159525062727547,"Spp1/Cdkn1a/Fth1/Il1rn/Adam8/Plac8/Lcn2/Ednrb/Cd74/Ifit3/Slc7a11/Timp1/Ccl19/Cxcl12",14
"GO:0008219","cell death","21/57","487/2675",0.0431211498973306,2.02366799956771,3.68496406596076,0.000600085279158699,0.0197919035707978,0.0159525062727547,"Spp1/Cdkn1a/Cd24a/Fth1/Il1rn/Adam8/Plac8/Anxa1/Emp1/Lcn2/Ednrb/Adm/Actb/Cd74/Ifit3/Igfbp3/Kcnj8/Slc7a11/Timp1/Ccl19/Cxcl12",21
"GO:0012501","programmed cell death","21/57","487/2675",0.0431211498973306,2.02366799956771,3.68496406596076,0.000600085279158699,0.0197919035707978,0.0159525062727547,"Spp1/Cdkn1a/Cd24a/Fth1/Il1rn/Adam8/Plac8/Anxa1/Emp1/Lcn2/Ednrb/Adm/Actb/Cd74/Ifit3/Igfbp3/Kcnj8/Slc7a11/Timp1/Ccl19/Cxcl12",21
"GO:0080135","regulation of cellular response to stress","7/57","71/2675",0.0985915492957746,4.62688411168767,4.5695735460946,0.000631555030448437,0.020457871879169,0.0164892845355804,"Actb/Fbln5/Cd74/Igtp/Igfbp6/Slc7a11/Cxcl12",7
"GO:0045597","positive regulation of cell differentiation","15/57","287/2675",0.0522648083623693,2.45277828718137,3.84287657177781,0.000668296144481809,0.0210908532641579,0.0169994749514973,"Cd24a/Lpl/H2-Aa/Adam8/Anxa1/Ccr2/Adm/Actb/Cd74/Ifitm1/Lrg1/Gfap/Igfbp3/Ccl19/Cxcl12",15
"GO:0032101","regulation of response to external stimulus","17/57","352/2675",0.0482954545454545,2.26649720893142,3.76170099586009,0.000674349222338014,0.0210908532641579,0.0169994749514973,"Cd24a/Lpl/Adam8/Anxa1/Plat/Ccr2/Ednrb/Cd74/Igtp/Angpt2/Gbp2/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",17
"GO:0042981","regulation of apoptotic process","18/57","387/2675",0.0465116279069767,2.1827825377397,3.71163861819263,0.000704498151490256,0.0216603329966665,0.017458482291168,"Spp1/Cdkn1a/Cd24a/Il1rn/Adam8/Plac8/Anxa1/Lcn2/Ednrb/Adm/Actb/Cd74/Ifit3/Igfbp3/Slc7a11/Timp1/Ccl19/Cxcl12",18
"GO:0042127","regulation of cell population proliferation","21/57","494/2675",0.0425101214574899,1.99499254208395,3.61317315932876,0.000732069550328814,0.0221329027382745,0.0178393790422232,"Cdkn1a/Cd24a/Fth1/H2-Aa/Plac8/Anxa1/Ccr2/Ednrb/Adm/Actb/Fbln5/Cd74/Ifitm1/Lrg1/Ifit3/Gfap/Igfbp3/Slc7a11/Timp1/Ccl19/Cxcl12",21
"GO:0048871","multicellular organismal-level homeostasis","13/57","229/2675",0.0567685589519651,2.66413851221941,3.88519028729192,0.000760973311146639,0.022491106372443,0.0181280953701174,"Spp1/Cd24a/Il1rn/Napsa/Adam8/Plac8/Anxa1/Ccr2/Lcn2/Ednrb/Cd74/Slc7a11/Cfh",13
"GO:0015031","protein transport","12/57","200/2675",0.06,2.81578947368421,3.93845781887336,0.000768714771274237,0.022491106372443,0.0181280953701174,"Cdkn1a/Cd24a/Il1rn/Anxa1/Ednrb/Cd74/Igtp/Gfap/Kcnj8/Gbp4/Slc7a11/Nnat",12
"GO:0050776","regulation of immune response","15/57","293/2675",0.0511945392491468,2.40255074546434,3.75331334662454,0.000833941841986758,0.0232742820347914,0.0187593441341178,"Cd24a/Cd72/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Cd74/Igtp/Gbp2/Kcnj8/Ccl19/Ifi205/Cfh",15
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","4/57","21/2675",0.19047619047619,8.9390142021721,5.38839066589829,0.000846804087263633,0.0232742820347914,0.0187593441341178,"H2-Eb1/H2-Aa/H2-Ab1/Cd74",4
"GO:0019884","antigen processing and presentation of exogenous antigen","4/57","21/2675",0.19047619047619,8.9390142021721,5.38839066589829,0.000846804087263633,0.0232742820347914,0.0187593441341178,"H2-Eb1/H2-Aa/H2-Ab1/Cd74",4
"GO:0048247","lymphocyte chemotaxis","4/57","21/2675",0.19047619047619,8.9390142021721,5.38839066589829,0.000846804087263633,0.0232742820347914,0.0187593441341178,"Adam8/Ch25h/Ccr2/Cxcl12",4
"GO:0051249","regulation of lymphocyte activation","11/57","175/2675",0.0628571428571429,2.94987468671679,3.93630760705587,0.000894904292448798,0.0242291997985391,0.0195290190449549,"Cdkn1a/Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",11
"GO:0033554","cellular response to stress","15/57","298/2675",0.0503355704697987,2.36223949134581,3.68027537427797,0.000997766028068036,0.0263280023536239,0.0212206785058803,"Spp1/Cdkn1a/Adam8/Anxa1/Lcn2/Adm/Actb/Fbln5/Cd74/Igtp/Igfbp6/Gfap/Kcnj8/Slc7a11/Cxcl12",15
"GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","4/57","22/2675",0.181818181818182,8.53269537480064,5.23391214427274,0.00101866142806213,0.0263280023536239,0.0212206785058803,"Cd24a/Anxa1/Ccr2/Ccl19",4
"GO:0050671","positive regulation of lymphocyte proliferation","6/57","56/2675",0.107142857142857,5.0281954887218,4.49438333205909,0.00102058674215168,0.0263280023536239,0.0212206785058803,"Cdkn1a/Cd24a/Anxa1/Ccr2/Cd74/Ccl19",6
"GO:0006915","apoptotic process","20/57","470/2675",0.0425531914893617,1.99701381112355,3.51219899807699,0.00103047859267216,0.0263280023536239,0.0212206785058803,"Spp1/Cdkn1a/Cd24a/Il1rn/Adam8/Plac8/Anxa1/Emp1/Lcn2/Ednrb/Adm/Actb/Cd74/Ifit3/Igfbp3/Kcnj8/Slc7a11/Timp1/Ccl19/Cxcl12",20
"GO:0042110","T cell activation","12/57","207/2675",0.0579710144927536,2.72056953979151,3.80205270888867,0.00104749116697204,0.0263909580123233,0.0212714215047392,"Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Igtp/Ccl19/Cxcl12",12
"GO:0098609","cell-cell adhesion","15/57","300/2675",0.05,2.34649122807018,3.65145251314193,0.0010706089826653,0.026603899925409,0.0214430551827268,"Cd24a/H2-Eb1/H2-Aa/Il1rn/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Lrg1/Slc7a11/Ccl19/Cxcl12/Cfh",15
"GO:0008284","positive regulation of cell population proliferation","15/57","301/2675",0.0498338870431894,2.33869557614968,3.63712332372484,0.00110870284686392,0.027057091937299,0.0218083332564895,"Cdkn1a/Cd24a/Plac8/Anxa1/Ccr2/Ednrb/Adm/Actb/Fbln5/Cd74/Lrg1/Gfap/Timp1/Ccl19/Cxcl12",15
"GO:0032946","positive regulation of mononuclear cell proliferation","6/57","57/2675",0.105263157894737,4.93998153277932,4.43588318788219,0.00112202831303814,0.027057091937299,0.0218083332564895,"Cdkn1a/Cd24a/Anxa1/Ccr2/Cd74/Ccl19",6
"GO:0050900","leukocyte migration","11/57","180/2675",0.0611111111111111,2.86793372319688,3.82820995764203,0.00113359370850867,0.027057091937299,0.0218083332564895,"Spp1/Cd24a/Sirpb1c/Adam8/Ch25h/Anxa1/Ccr2/Ednrb/Cd74/Ccl19/Cxcl12",11
"GO:0001775","cell activation","17/57","369/2675",0.046070460704607,2.16207863833024,3.54692787763297,0.00116870434678707,0.0275328530528799,0.0221918022923752,"Cdkn1a/Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Plat/Ccr2/H2-Ab1/Actb/Cd74/Igtp/Kcnj8/Slc7a11/Ccl19/Cxcl12/Cfh",17
"GO:0042060","wound healing","9/57","127/2675",0.0708661417322835,3.32573559883962,3.96182964446736,0.00119562801304286,0.0276856351222652,0.0223149464311648,"Cdkn1a/Anxa1/Plat/Ccr2/Lrg1/Angpt2/Slc7a11/Timp1/Cfh",9
"GO:0022408","negative regulation of cell-cell adhesion","7/57","79/2675",0.0886075949367089,4.15833888518765,4.20390832841577,0.00120571398823536,0.0276856351222652,0.0223149464311648,"Cd24a/H2-Aa/Il1rn/Adam8/Anxa1/Cd74/Cxcl12",7
"GO:0023061","signal release","9/57","128/2675",0.0703125,3.29975328947368,3.93373472261302,0.00126487486122392,0.0286810374782523,0.023117252397895,"Spp1/Il1rn/Adam8/Anxa1/Ednrb/Igfbp3/Kcnj8/Cxcl12/Nnat",9
"GO:0045063","T-helper 1 cell differentiation","3/57","11/2675",0.272727272727273,12.799043062201,5.78507943551528,0.00134121623679615,0.0293128464282917,0.0236264978174996,"Anxa1/Ccr2/Ccl19",3
"GO:0045624","positive regulation of T-helper cell differentiation","3/57","11/2675",0.272727272727273,12.799043062201,5.78507943551528,0.00134121623679615,0.0293128464282917,0.0236264978174996,"Anxa1/Ccr2/Ccl19",3
"GO:0046597","host-mediated suppression of symbiont invasion","3/57","11/2675",0.272727272727273,12.799043062201,5.78507943551528,0.00134121623679615,0.0293128464282917,0.0236264978174996,"Ifitm6/Cd74/Ifitm1",3
